sequence_id,cluster_id,target_year,input_year_1,input_year_2,input_year_3,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,target_value
1,2,2017,2014,2015,2016,0.1867982766543741,0.34448319851199743,0.3359460015497582,-0.14810540621070026,-0.16006553190231057,-0.13458781988011492,1.2765580249888882,1.0157082215633306,0.18573748662074213,-1.1461012905591454,-0.3394607263692016,1.2121983769618403,0.24385246580885853,0.45668046946151025,0.34449156471412323,0.6731700607256789
2,2,2018,2015,2016,2017,0.34448319851199743,0.3359460015497582,0.24724597209463378,-0.16006553190231057,-0.13458781988011492,-0.2527428375546219,1.0157082215633306,0.18573748662074213,0.6731700607256789,-0.3394607263692016,1.2121983769618403,1.1216792999716965,0.45668046946151025,0.34449156471412323,0.29958162199777777,-1.0956683103986646
3,2,2019,2016,2017,2018,0.3359460015497582,0.24724597209463378,0.4935947488439813,-0.13458781988011492,-0.2527428375546219,-0.6006384437683887,0.18573748662074213,0.6731700607256789,-1.0956683103986646,1.2121983769618403,1.1216792999716965,1.8013980074532385,0.34449156471412323,0.29958162199777777,0.6166049903545239,1.0065747058987733
4,3,2017,2014,2015,2016,1.2246645878624773,1.4572489432383857,1.6116058052632714,0.18806748442130497,0.6572356119346164,1.0201238490776101,-1.9112511821519034,-0.6388255682885445,-1.6823052497475504,-0.7514501240465626,-0.8020387292632765,-0.9078694909184195,1.3245597404521652,1.5219808403116972,1.6327730243525949,-0.7114473220731022
5,3,2018,2015,2016,2017,1.4572489432383857,1.6116058052632714,1.288331819445275,0.6572356119346164,1.0201238490776101,0.3549375661756776,-0.6388255682885445,-1.6823052497475504,-0.7114473220731022,-0.8020387292632765,-0.9078694909184195,0.6779406737977922,1.5219808403116972,1.6327730243525949,1.4386610781668987,0.2671269046031878
6,3,2019,2016,2017,2018,1.6116058052632714,1.288331819445275,1.5035523843895122,1.0201238490776101,0.3549375661756776,0.13855411784995716,-1.6823052497475504,-0.7114473220731022,0.2671269046031878,-0.9078694909184195,0.6779406737977922,1.060582675867238,1.6327730243525949,1.4386610781668987,1.6789185276939111,-0.48999217790828314
7,4,2019,2016,2017,2018,1.4515695367846937,1.024510728574057,1.2552320939349009,1.2866749197797378,0.5812597277827889,0.4442767151490494,-2.704036072587157,-0.7272258840480258,-0.2399054941452831,-1.7914437648222084,0.14773606363330347,0.2554807858715714,1.3393220039192124,1.0436469743608818,1.3035874418439584,-0.6217936127664223
8,5,2017,2014,2015,2016,-0.986650298174369,-0.6641540654694589,-0.2260439281403303,-0.8951824955258717,-0.6153203577563917,-0.5361875684375607,1.0546369176650405,0.7486368272210325,0.008981878665604496,0.4850434699299082,0.635495783219081,-0.09319779800712837,-1.0547217510358955,-0.7155388714704259,-0.23337476758220022,1.5965662477626865
9,5,2018,2015,2016,2017,-0.6641540654694589,-0.2260439281403303,-0.29432341655654015,-0.6153203577563917,-0.5361875684375607,0.36451203061572146,0.7486368272210325,0.008981878665604496,1.5965662477626865,0.635495783219081,-0.09319779800712837,-1.3927019766711823,-0.7155388714704259,-0.23337476758220022,-0.2576347318533742,1.4703877427125773
10,5,2019,2016,2017,2018,-0.2260439281403303,-0.29432341655654015,-0.10265249238526032,-0.5361875684375607,0.36451203061572146,-0.030081117636845497,0.008981878665604496,1.5965662477626865,1.4703877427125773,-0.09319779800712837,-1.3927019766711823,1.1480994617465972,-0.23337476758220022,-0.2576347318533742,-0.06316286148562109,1.8961909328949802
11,6,2017,2014,2015,2016,-0.5924199062486123,-0.27281763861564734,-0.4677171425703162,-0.5181644479216461,-0.4185938841692241,-0.6449505662267762,1.048279782941509,0.32103303429891084,-0.2224244376512042,0.33605477355724234,0.3230698645031006,-0.19080978774649948,-0.6454288640073853,-0.2820236241897625,-0.4834200060600714,0.5149909002424787
12,7,2017,2014,2015,2016,-0.6259627701606288,-0.36469198600906216,-0.10982409957917491,-0.6061623529247534,-0.6195689807323389,-0.5583301099889937,0.6851174476171737,-0.08851218621445074,-0.2951264052138978,0.20117684540526218,0.16364820652045975,-0.04793825951205598,-0.6505644986050916,-0.38203419877710704,-0.1136972910469439,1.0248837465643843
13,7,2018,2015,2016,2017,-0.36469198600906216,-0.10982409957917491,-0.03808089671747966,-0.6195689807323389,-0.5583301099889937,-0.47127997030259955,-0.08851218621445074,-0.2951264052138978,1.0248837465643843,0.16364820652045975,-0.04793825951205598,-0.1279868462533393,-0.38203419877710704,-0.1136972910469439,0.016071492592696388,1.1664555351159405
14,7,2019,2016,2017,2018,-0.10982409957917491,-0.03808089671747966,0.033662306144216766,-0.5583301099889937,-0.47127997030259955,-0.3842298306162054,-0.2951264052138978,1.0248837465643843,1.1664555351159405,-0.04793825951205598,-0.1279868462533393,-0.2080354329946235,-0.1136972910469439,0.016071492592696388,0.14584027623233667,2.4020744303494928
15,8,2019,2016,2017,2018,-0.7116693544944606,-1.0405865722027507,-0.8155084387321998,-0.4122877893541396,-0.5006971057649557,-0.7818690585654534,-0.23356252169904337,0.26628055095647224,0.432230271675107,-0.2988547390958456,-0.9249074929721196,-0.2798652478201357,-0.7832207337052629,-1.038885087025395,-0.78247939733028,0.6739155276144275
16,9,2017,2014,2015,2016,-1.2401616384767826,-0.9231277648451676,-0.9360601712604244,-0.5998427710982905,-0.2996959412472156,-0.7933619611286452,-1.157255989781859,0.13641194328624176,0.09417063174915055,-0.7591059663790622,-0.07218176023163848,1.6820569357995663,-1.280947529465409,-1.0020868684121216,-0.9669324826303315,-0.13691060723552878
17,9,2018,2015,2016,2017,-0.9231277648451676,-0.9360601712604244,-1.1879979180549674,-0.2996959412472156,-0.7933619611286452,-0.5722477520411458,0.13641194328624176,0.09417063174915055,-0.13691060723552878,-0.07218176023163848,1.6820569357995663,-0.22004459743776045,-1.0020868684121216,-0.9669324826303315,-1.192674780815291,-0.6349819741737796
18,9,2019,2016,2017,2018,-0.9360601712604244,-1.1879979180549674,-0.9789270288886149,-0.7933619611286452,-0.5722477520411458,-0.7373669037300714,0.09417063174915055,-0.13691060723552878,-0.6349819741737796,1.6820569357995663,-0.22004459743776045,1.0785213652541736,-0.9669324826303315,-1.192674780815291,-0.8593205241980555,-0.17789202620212255
19,11,2017,2014,2015,2016,0.600363972717066,0.8941918639280173,0.8698463827602778,-0.4264083889157951,0.02691679020985254,-0.3631710029141831,-0.9022798411389583,0.3602730203053149,-0.66895270298579,0.8698621330546723,0.8044872441173462,3.2370936166302395,0.73284438515073,0.9616379808790965,0.9537626248955844,-0.36195784737204234
20,11,2018,2015,2016,2017,0.8941918639280173,0.8698463827602778,0.8230545850032613,0.02691679020985254,-0.3631710029141831,-0.17578675695599164,0.3602730203053149,-0.66895270298579,-0.36195784737204234,0.8044872441173462,3.2370936166302395,0.7374610950690894,0.9616379808790965,0.9537626248955844,0.990077363264304,0.8383888833650013
21,11,2019,2016,2017,2018,0.8698463827602778,0.8230545850032613,1.0245649904191556,-0.3631710029141831,-0.17578675695599164,-0.12975047140634452,-0.66895270298579,-0.36195784737204234,0.8383888833650013,3.2370936166302395,0.7374610950690894,2.402907031498852,0.9537626248955844,0.990077363264304,1.127041944543722,-0.07202502598229066
22,14,2017,2014,2015,2016,-1.350729191506794,-1.0540073352238963,-0.8454067153817356,-0.7365486897531394,-0.3190986353496619,0.16621546461593906,-0.26504113486219905,-1.2332013247755784,-1.600805080125636,-0.4848466734089263,-0.12569759928136673,-1.137094417226793,-1.4335768706683756,-1.0563870718782482,-0.8003037023461694,0.14321909101280877
23,14,2018,2015,2016,2017,-1.0540073352238963,-0.8454067153817356,-1.2034444566264755,-0.3190986353496619,0.16621546461593906,-0.6938011541940093,-1.2332013247755784,-1.600805080125636,0.14321909101280877,-0.12569759928136673,-1.137094417226793,0.06104490780941017,-1.0563870718782482,-0.8003037023461694,-1.1877755143371445,-0.13755096108672477
